	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)
	(-0.98)	(-1.44)	(-0.15)	(-0.41)	(-0.58)	(-0.80)	(1.44)	(-0.65)	(1.90)	(-0.27)	(1.43)	(-0.00)	(0.89)	(-0.68)	(-1.30)	(-1.21)	(0.04)	(-0.15)	(-1.95)	(1.21)	(-0.91)	(-0.11)	(-0.11)	(0.78)	(0.93)	(-0.32)	(-0.49)	(-0.38)
GEOSEG	-0.005	0.021	0.187	0.123	-0.003	0.016	0.001	0.003*	-0.005	-0.001	-0.018*	-0.008	-0.028	0.006	0.023	0.035	0.293	0.343	-0.000	0.001	0.001	0.001	0.003	-0.004	0.003	-0.011	-0.005	-0.011
	(-0.17)	(0.77)	(1.05)	(0.86)	(-0.17)	(1.26)	(0.38)	(1.87)	(-0.81)	(-0.15)	(-1.82)	(-0.92)	(-1.32)	(0.30)	(0.68)	(1.20)	(1.50)	(1.59)	(-0.01)	(0.06)	(0.66)	(0.85)	(0.35)	(-0.54)	(0.23)	(-1.20)	(-0.16)	(-0.62)
AF	-0.015	0.172	0.447	0.481	0.057	-0.037	0.009	-0.006	0.028	0.001	0.035	0.034	-0.054	0.049	0.130	-0.226	-0.966	0.092	0.022	-0.163**	0.007	0.006	0.015	-0.020	0.048	-0.089	0.015	-0.080
	(-0.12)	(1.32)	(0.76)	(0.49)	(0.91)	(-0.47)	(1.07)	(-0.65)	(1.26)	(0.01)	(0.60)	(0.58)	(-0.84)	(0.49)	(0.92)	(-1.26)	(-1.15)	(0.11)	(0.30)	(-2.03)	(0.46)	(0.64)	(0.43)	(-0.68)	(1.01)	(-1.03)	(0.15)	(-0.95)
AFE	0.092	0.030	1.643*	1.622	0.032	-0.121	-0.004	-0.016	0.010	-0.068	-0.044	-0.142**	-0.201**	-0.133	0.025	0.004	1.913	0.701	0.202**	-0.152	-0.004	-0.011	0.022	-0.137**	0.050	-0.339***	-0.030	-0.460***
	(0.69)	(0.15)	(1.88)	(1.32)	(0.40)	(-1.12)	(-0.48)	(-1.34)	(0.29)	(-1.44)	(-0.90)	(-2.16)	(-2.57)	(-1.12)	(0.14)	(0.02)	(1.54)	(0.34)	(2.11)	(-0.97)	(-0.41)	(-0.85)	(0.53)	(-2.42)	(0.79)	(-3.29)	(-0.29)	(-2.98)
TONE			.	.													.	.										
			(.)	(.)													(.)	(.)										
NW					.	.													.	.								
					(.)	(.)													(.)	(.)								
N8K							.	.													.	.						
							(.)	(.)													(.)	(.)						
NITEM									.	.													.	.				
									(.)	(.)													(.)	(.)				
NEXHIBIT											.	.													.	.		
											(.)	(.)													(.)	(.)		
NGRAPH													.	.													.	.
													(.)	(.)													(.)	(.)
